student_id,knowledge_point,item_id,correct,duration_ms,answered_at
stu-001,20以内进位加法,q101,0,52000,2026-08-10T09:00:00+08:00
stu-001,20以内进位加法,q102,0,48000,2026-08-10T09:02:00+08:00
stu-001,20以内进位加法,q103,1,35000,2026-08-10T09:05:00+08:00
stu-001,20以内进位加法,q104,1,26000,2026-08-11T09:00:00+08:00
stu-001,图形认知,q201,1,12000,2026-08-11T09:10:00+08:00
stu-001,图形认知,q202,1,9000,2026-08-11T09:12:00+08:00
stu-002,20以内进位加法,q101,1,30000,2026-08-10T10:00:00+08:00
stu-002,20以内进位加法,q102,1,28000,2026-08-10T10:03:00+08:00
stu-002,20以内进位加法,q103,0,55000,2026-08-11T10:00:00+08:00
stu-002,20以内进位加法,q104,0,60000,2026-08-11T10:04:00+08:00
stu-002,20以内进位加法,q105,0,58000,2026-08-12T10:00:00+08:00
stu-002,认识时间,q301,1,15000,2026-08-12T10:10:00+08:00
stu-002,认识时间,q302,1,13000,2026-08-12T10:12:00+08:00
stu-003,20以内进位加法,q101,0,70000,2026-08-10T19:00:00+08:00
stu-003,20以内进位加法,q102,0,66000,2026-08-10T19:05:00+08:00
stu-003,20以内进位加法,q103,0,72000,2026-08-11T19:00:00+08:00
stu-003,20以内进位加法,q104,0,69000,2026-08-12T19:00:00+08:00
stu-003,图形认知,q201,1,14000,2026-08-12T19:10:00+08:00
stu-003,图形认知,q202,0,20000,2026-08-12T19:12:00+08:00
stu-003,图形认知,q203,1,15000,2026-08-12T19:14:00+08:00
stu-004,认识时间,q301,1,11000,2026-08-13T09:00:00+08:00
stu-004,认识时间,q302,1,10000,2026-08-13T09:02:00+08:00
stu-004,认识时间,q303,1,12000,2026-08-13T09:04:00+08:00
stu-004,20以内进位加法,q101,1,22000,2026-08-13T09:10:00+08:00
stu-004,20以内进位加法,q102,1,20000,2026-08-13T09:12:00+08:00
